head,relation,tail,label,modification,assertion
PersonX would n't like PersonY,xIntent,PersonX intended to hold opposing views,1,0,"PersonX would n't like PersonY, thus it can be seen about PersonX's intention that PersonX intended to hold opposing views"
PersonX works PersonY's way up,oReact,PersonX be knowledgable,0,1,"PersonX works PersonY's way up, thus as a result on PersonY's emotion, PersonX be knowledgable"
PersonX feels unappreciated,xReact,PersonX feel sad,1,0,"PersonX feels unappreciated, thus as a result on PersonX's emotion, PersonX feel sad"
PersonX gets the stain,xNeed,PersonX be sloppy,0,1,The event PersonX gets the stain will not happen unless PersonX be sloppy
PersonX takes ___ everywhere,xNeed,PersonX be prepared,0,1,The event PersonX takes ___ everywhere will not happen unless PersonX be prepared
PersonX feels so nervous,xAttr,PersonX be edgy,1,0,"PersonX feels so nervous, thus it can be seen about PersonX's attribute that PersonX be edgy"
PersonX takes things as they come,xNeed,PersonX feel satisfied,0,1,The event PersonX takes things as they come will not happen unless PersonX feel satisfied
PersonX wants to learn to cook,xNeed,PersonX read a cookbook,1,0,The event PersonX wants to learn to cook will not happen unless PersonX read a cookbook
PersonX teaches PersonY ___ tricks,xAttr,PersonX be knowing tricks,0,1,"PersonX teaches PersonY ___ tricks, thus it can be seen about PersonX's attribute that PersonX be knowing tricks"
PersonX buys a parrot,xIntent,PersonX buy a cage,0,1,"PersonX buys a parrot, thus it can be seen about PersonX's intention that PersonX buy a cage"
PersonX produces PersonY results,xNeed,PersonX be caring,0,2,The event PersonX produces PersonY results will not happen unless PersonX be caring
PersonX loses sight of PersonY,xAttr,PersonX be forgetful,1,0,"PersonX loses sight of PersonY, thus it can be seen about PersonX's attribute that PersonX be forgetful"
PersonX knows the ___ from the dance,xNeed,PersonX sit and watch the dance,1,0,The event PersonX knows the ___ from the dance will not happen unless PersonX sit and watch the dance
PersonX swings the bat,xAttr,PersonX be strong,1,0,"PersonX swings the bat, thus it can be seen about PersonX's attribute that PersonX be strong"
PersonX shields PersonY's eyes,xNeed,PersonX creep up behind persony,1,0,The event PersonX shields PersonY's eyes will not happen unless PersonX creep up behind persony
PersonX loves riding PersonY's bike,xIntent,PersonX intended to go fast on a bike,1,0,"PersonX loves riding PersonY's bike, thus it can be seen about PersonX's intention that PersonX intended to go fast on a bike"
survival,xNeed,PersonX prioritizing many decisions and actions,1,0,The event survival will not happen unless PersonX prioritizing many decisions and actions
PersonX meets PersonX's standards,oReact,PersonX establish standards,0,1,"PersonX meets PersonX's standards, thus as a result on PersonY's emotion, PersonX establish standards"
PersonX tickles the dragons tail,xNeed,PersonX intended to make thw dragon giggle ,0,1,The event PersonX tickles the dragons tail will not happen unless PersonX intended to make thw dragon giggle 
PersonX sees what happened,xIntent,PersonX think it's worth finding out,0,1,"PersonX sees what happened, thus it can be seen about PersonX's intention that PersonX think it's worth finding out"
PersonX cooks spaghetti,xIntent,PersonX intended to make dinner,1,0,"PersonX cooks spaghetti, thus it can be seen about PersonX's intention that PersonX intended to make dinner"
PersonX begins to eat,xIntent,PersonX intended to eat mom's cooking,1,0,"PersonX begins to eat, thus it can be seen about PersonX's intention that PersonX intended to eat mom's cooking"
PersonX repels ___ by force,xNeed,PersonX intended to make a point,0,2,The event PersonX repels ___ by force will not happen unless PersonX intended to make a point
PersonX puts it in a box,xIntent,PersonX intended to keep it safe,1,0,"PersonX puts it in a box, thus it can be seen about PersonX's intention that PersonX intended to keep it safe"
PersonX looks ___ like PersonY,oReact,PersonX feel unoriginal,0,1,"PersonX looks ___ like PersonY, thus as a result on PersonY's emotion, PersonX feel unoriginal"
PersonX puts the moves on ___,xIntent,PersonX feel amorous,0,2,"PersonX puts the moves on ___, thus it can be seen about PersonX's intention that PersonX feel amorous"
PersonX calls an ambulance,xNeed,PersonX notice an emergency,1,0,The event PersonX calls an ambulance will not happen unless PersonX notice an emergency
PersonX looks in the pantry,xNeed,PersonX leave his room,1,0,The event PersonX looks in the pantry will not happen unless PersonX leave his room
PersonX opens PersonX's legs,xAttr,PersonX be relaxed,1,0,"PersonX opens PersonX's legs, thus it can be seen about PersonX's attribute that PersonX be relaxed"
PersonX becomes scared,xAttr,PersonX be confused,1,0,"PersonX becomes scared, thus it can be seen about PersonX's attribute that PersonX be confused"
PersonX draws PersonX's sword,xIntent,PersonX gets a reason to draw it,0,2,"PersonX draws PersonX's sword, thus it can be seen about PersonX's intention that PersonX gets a reason to draw it"
PersonX does not believe PersonY,xReact,PersonX be suspicious,0,1,"PersonX does not believe PersonY, thus as a result on PersonX's emotion, PersonX be suspicious"
PersonX sends ___ home,oReact,PersonX love their parents,0,1,"PersonX sends ___ home, thus as a result on PersonY's emotion, PersonX love their parents"
PersonX finds PersonY at home,oReact,PersonX get dressed,0,1,"PersonX finds PersonY at home, thus as a result on PersonY's emotion, PersonX get dressed"
PersonX is working at a diner,xNeed,PersonX get a job at a diner,1,0,The event PersonX is working at a diner will not happen unless PersonX get a job at a diner
PersonX visits PersonX's mother 's ___,xNeed,PersonX plan a trip,1,0,The event PersonX visits PersonX's mother 's ___ will not happen unless PersonX plan a trip
PersonX wears a cast,xNeed,PersonX goes for a bike ride,1,0,The event PersonX wears a cast will not happen unless PersonX goes for a bike ride
PersonX broadens PersonY's ___ to include,xIntent,PersonX be knowledgeable,0,2,"PersonX broadens PersonY's ___ to include, thus it can be seen about PersonX's intention that PersonX be knowledgeable"
PersonX makes the team though,xReact,PersonX intended to prove themself,0,1,"PersonX makes the team though, thus as a result on PersonX's emotion, PersonX intended to prove themself"
PersonX divides the ___ into groups,xIntent,PersonX be care giver,0,1,"PersonX divides the ___ into groups, thus it can be seen about PersonX's intention that PersonX be care giver"
PersonX alters PersonX's course,xIntent,PersonX feel satisfied,0,2,"PersonX alters PersonX's course, thus it can be seen about PersonX's intention that PersonX feel satisfied"
PersonX uses the card,xIntent,PersonX feel efficient,0,2,"PersonX uses the card, thus it can be seen about PersonX's intention that PersonX feel efficient"
PersonX sits patiently,xAttr,PersonX be patient,1,0,"PersonX sits patiently, thus it can be seen about PersonX's attribute that PersonX be patient"
PersonX leaves ___ in PersonX's car,xNeed,PersonX be driving near persony's car,1,0,The event PersonX leaves ___ in PersonX's car will not happen unless PersonX be driving near persony's car
PersonX would n't work,xAttr,PersonX be slothful,1,0,"PersonX would n't work, thus it can be seen about PersonX's attribute that PersonX be slothful"
PersonX would like it,xAttr,PersonX be desiring,1,0,"PersonX would like it, thus it can be seen about PersonX's attribute that PersonX be desiring"
PersonX makes a mistake,xReact,PersonX feel dumb,1,0,"PersonX makes a mistake, thus as a result on PersonX's emotion, PersonX feel dumb"
PersonX dyes PersonY's hair blue,xNeed,PersonX feel glad for having done a wonderful job,0,2,The event PersonX dyes PersonY's hair blue will not happen unless PersonX feel glad for having done a wonderful job
PersonX comes see PersonY,xNeed,PersonX be social,0,2,The event PersonX comes see PersonY will not happen unless PersonX be social
PersonX wants to kiss PersonY,xReact,PersonX flirt with person y,0,1,"PersonX wants to kiss PersonY, thus as a result on PersonX's emotion, PersonX flirt with person y"
PersonX goes to PersonY,xIntent,PersonX get in the car,0,1,"PersonX goes to PersonY, thus it can be seen about PersonX's intention that PersonX get in the car"
PersonX calls PersonY in,xAttr,PersonX make a reason,0,2,"PersonX calls PersonY in, thus it can be seen about PersonX's attribute that PersonX make a reason"
PersonX sees PersonY in PersonX's office,xIntent,PersonX intended to meet person y,1,0,"PersonX sees PersonY in PersonX's office, thus it can be seen about PersonX's intention that PersonX intended to meet person y"
PersonX gets the part,xAttr,PersonX be talented,1,0,"PersonX gets the part, thus it can be seen about PersonX's attribute that PersonX be talented"
PersonX flies to PersonY,xReact,PersonX intended to communicative ,0,1,"PersonX flies to PersonY, thus as a result on PersonX's emotion, PersonX intended to communicative "
PersonX puts upon PersonY,oReact,PersonX be close to persony,0,1,"PersonX puts upon PersonY, thus as a result on PersonY's emotion, PersonX be close to persony"
PersonX rears PersonY's children,oReact,PersonX get custody,0,1,"PersonX rears PersonY's children, thus as a result on PersonY's emotion, PersonX get custody"
PersonX joins ___ for the protection,xNeed,"PersonX feel happy,strong,secure",0,2,"The event PersonX joins ___ for the protection will not happen unless PersonX feel happy,strong,secure"
PersonX teaches ___ in schools,xNeed,PersonX get hired at a school,1,0,The event PersonX teaches ___ in schools will not happen unless PersonX get hired at a school
PersonX shakes PersonY's heads,xIntent,PersonX intended to be friendly,1,0,"PersonX shakes PersonY's heads, thus it can be seen about PersonX's intention that PersonX intended to be friendly"
PersonX practices hard every day,oReact,PersonX intended to excel,0,1,"PersonX practices hard every day, thus as a result on PersonY's emotion, PersonX intended to excel"
PersonX has never been on one before,xReact,PersonX be young,0,2,"PersonX has never been on one before, thus as a result on PersonX's emotion, PersonX be young"
PersonX hits by lightning,xReact,PersonX feel shocked,1,0,"PersonX hits by lightning, thus as a result on PersonX's emotion, PersonX feel shocked"
PersonX provides ___ for the poor,oReact,PersonY feel thankful,1,0,"PersonX provides ___ for the poor, thus as a result on PersonY's emotion, PersonY feel thankful"
PersonX finds it anywhere,xNeed,PersonX be talented,0,2,The event PersonX finds it anywhere will not happen unless PersonX be talented
PersonX starts early in the morning,xReact,PersonX set an alarm,0,1,"PersonX starts early in the morning, thus as a result on PersonX's emotion, PersonX set an alarm"
PersonX makes friendship bracelets,xAttr,PersonX be artistic,1,0,"PersonX makes friendship bracelets, thus it can be seen about PersonX's attribute that PersonX be artistic"
PersonX builds muscle,xIntent,PersonX intended to be strong,1,0,"PersonX builds muscle, thus it can be seen about PersonX's intention that PersonX intended to be strong"
PersonX gets on PersonX's feet,oReact,PersonX feel neutral,0,1,"PersonX gets on PersonX's feet, thus as a result on PersonY's emotion, PersonX feel neutral"
PersonX visits PersonY's friend,xIntent,PersonX intended to be sociable,1,0,"PersonX visits PersonY's friend, thus it can be seen about PersonX's intention that PersonX intended to be sociable"
PersonX gets to work on time,xNeed,PersonX be working,1,0,The event PersonX gets to work on time will not happen unless PersonX be working
PersonX researches ___ online,xIntent,PersonX intended to make a good grade,1,0,"PersonX researches ___ online, thus it can be seen about PersonX's intention that PersonX intended to make a good grade"
PersonX advertises PersonY's business,xAttr,PersonX have a place to advertise it,0,2,"PersonX advertises PersonY's business, thus it can be seen about PersonX's attribute that PersonX have a place to advertise it"
PersonX gets second place,xNeed,PersonX compete,1,0,The event PersonX gets second place will not happen unless PersonX compete
PersonX puts the phone,xNeed,PersonX make a call,1,0,The event PersonX puts the phone will not happen unless PersonX make a call
PersonX begs PersonY's parents,xAttr,PersonX be convincing,1,0,"PersonX begs PersonY's parents, thus it can be seen about PersonX's attribute that PersonX be convincing"
PersonX rains cats and dogs,xIntent,PersonX intended to the othe rperosn to know hes very angry ,1,0,"PersonX rains cats and dogs, thus it can be seen about PersonX's intention that PersonX intended to the othe rperosn to know hes very angry "
PersonX learns how to bake a cake,oReact,PersonX go to culinary school,0,1,"PersonX learns how to bake a cake, thus as a result on PersonY's emotion, PersonX go to culinary school"
learn about linguistics,xAttr,PersonX read chomsky,0,1,"learn about linguistics, thus it can be seen about PersonX's attribute that PersonX read chomsky"
PersonX replaces PersonY's old one,xIntent,PersonX intended to express gratitude for the past,1,0,"PersonX replaces PersonY's old one, thus it can be seen about PersonX's intention that PersonX intended to express gratitude for the past"
PersonX sees PersonY every day,xIntent,PersonX be disciplined,0,1,"PersonX sees PersonY every day, thus it can be seen about PersonX's intention that PersonX be disciplined"
PersonX argues with PersonY's boyfriend,xAttr,PersonX be hard-headed,1,0,"PersonX argues with PersonY's boyfriend, thus it can be seen about PersonX's attribute that PersonX be hard-headed"
PersonX makes every ___,xIntent,PersonX intended to make every test ,1,0,"PersonX makes every ___, thus it can be seen about PersonX's intention that PersonX intended to make every test "
PersonX has anger problems,xReact,PersonX be immature,0,2,"PersonX has anger problems, thus as a result on PersonX's emotion, PersonX be immature"
PersonX gets dressed for work,xNeed,PersonX intended to earn money,0,1,The event PersonX gets dressed for work will not happen unless PersonX intended to earn money
PersonX provides PersonY estimate,xAttr,PersonX be consistent,1,0,"PersonX provides PersonY estimate, thus it can be seen about PersonX's attribute that PersonX be consistent"
PersonX sits down next to PersonY,xReact,PersonX be social,0,1,"PersonX sits down next to PersonY, thus as a result on PersonX's emotion, PersonX be social"
PersonX pulls PersonY out,xAttr,PersonX be helpful,1,0,"PersonX pulls PersonY out, thus it can be seen about PersonX's attribute that PersonX be helpful"
PersonX takes PersonY step,xAttr,PersonX be aggressive,1,0,"PersonX takes PersonY step, thus it can be seen about PersonX's attribute that PersonX be aggressive"
PersonX tells ___ PersonY had a surprise,xReact,PersonX be informative,0,1,"PersonX tells ___ PersonY had a surprise, thus as a result on PersonX's emotion, PersonX be informative"
PersonX leaves PersonX's car,xIntent,PersonX go somewhere,0,2,"PersonX leaves PersonX's car, thus it can be seen about PersonX's intention that PersonX go somewhere"
PersonX shares PersonY experience,xIntent,PersonX intended to tell a story,1,0,"PersonX shares PersonY experience, thus it can be seen about PersonX's intention that PersonX intended to tell a story"
PersonX catches PersonY attention,xNeed,PersonX talk to persony's friend,1,0,The event PersonX catches PersonY attention will not happen unless PersonX talk to persony's friend
PersonX shoves PersonY back,xAttr,PersonX be arms length away from y,0,2,"PersonX shoves PersonY back, thus it can be seen about PersonX's attribute that PersonX be arms length away from y"
PersonX meets PersonY's standards,xNeed,PersonX prepare himself,1,0,The event PersonX meets PersonY's standards will not happen unless PersonX prepare himself
PersonX sifts out ___,xAttr,PersonX be artistic,1,0,"PersonX sifts out ___, thus it can be seen about PersonX's attribute that PersonX be artistic"
PersonX lit another ___,xIntent,PersonX intended to relationship ,1,0,"PersonX lit another ___, thus it can be seen about PersonX's intention that PersonX intended to relationship "
PersonX reads PersonY's diary,xIntent,PersonX intended to be nosey,1,0,"PersonX reads PersonY's diary, thus it can be seen about PersonX's intention that PersonX intended to be nosey"
have physical exam,xIntent,PersonX kill yourself,0,1,"have physical exam, thus it can be seen about PersonX's intention that PersonX kill yourself"
PersonX camps with PersonY's family,xAttr,PersonX pack camping gear in car,0,2,"PersonX camps with PersonY's family, thus it can be seen about PersonX's attribute that PersonX pack camping gear in car"
PersonX loves PersonY more than anything,xIntent,PersonX intended to be affectionate,1,0,"PersonX loves PersonY more than anything, thus it can be seen about PersonX's intention that PersonX intended to be affectionate"
PersonX takes liberties,xIntent,PersonX be strong,0,2,"PersonX takes liberties, thus it can be seen about PersonX's intention that PersonX be strong"
PersonX wins several awards,xIntent,PersonX practice,0,1,"PersonX wins several awards, thus it can be seen about PersonX's intention that PersonX practice"
PersonX steps up PersonX's game,xNeed,PersonX practice,1,0,The event PersonX steps up PersonX's game will not happen unless PersonX practice
PersonX would not work,xNeed,PersonX have an injury,1,0,The event PersonX would not work will not happen unless PersonX have an injury
PersonX gets something to drink,xNeed,PersonX be thirsty,1,0,The event PersonX gets something to drink will not happen unless PersonX be thirsty
PersonX takes ___ in the campaign,xNeed,PersonX ask permisssion,1,0,The event PersonX takes ___ in the campaign will not happen unless PersonX ask permisssion
PersonX gets hurt,xReact,PersonX feel pain,1,0,"PersonX gets hurt, thus as a result on PersonX's emotion, PersonX feel pain"
PersonX kisses PersonY on the cheek,xIntent,PersonX intended to be kiss,1,0,"PersonX kisses PersonY on the cheek, thus it can be seen about PersonX's intention that PersonX intended to be kiss"
PersonX lit another cigarette,xIntent,PersonX take lighter,0,2,"PersonX lit another cigarette, thus it can be seen about PersonX's intention that PersonX take lighter"
loose weight,xReact,PersonX not put butter on popcorn,0,1,"loose weight, thus as a result on PersonX's emotion, PersonX not put butter on popcorn"
PersonX gets there early,xAttr,PersonX be curious,1,0,"PersonX gets there early, thus it can be seen about PersonX's attribute that PersonX be curious"
PersonX sees a rabbit,xAttr,PersonX looks around,0,1,"PersonX sees a rabbit, thus it can be seen about PersonX's attribute that PersonX looks around"
PersonX puts PersonX's ___ to death,xNeed,PersonX feel hateful,0,2,The event PersonX puts PersonX's ___ to death will not happen unless PersonX feel hateful
PersonX is excited and nervous,xReact,PersonX hear some good news,0,2,"PersonX is excited and nervous, thus as a result on PersonX's emotion, PersonX hear some good news"
PersonX wants to learn how to sing,xNeed,PersonX get music,1,0,The event PersonX wants to learn how to sing will not happen unless PersonX get music
PersonX is a web developer,xNeed,PersonX feel productive,0,2,The event PersonX is a web developer will not happen unless PersonX feel productive
PersonX bites PersonX's ___ to keep,xReact,PersonX feel frustrated,1,0,"PersonX bites PersonX's ___ to keep, thus as a result on PersonX's emotion, PersonX feel frustrated"
PersonX is much cheaper,xNeed,PersonX intended to save money,0,2,The event PersonX is much cheaper will not happen unless PersonX intended to save money
PersonX gives PersonX's all,xReact,PersonX feel happy,1,0,"PersonX gives PersonX's all, thus as a result on PersonX's emotion, PersonX feel happy"
PersonX works really hard,xNeed,PersonX intended to good,0,1,The event PersonX works really hard will not happen unless PersonX intended to good
PersonX tells PersonY a little,xAttr,PersonX be talkative,1,0,"PersonX tells PersonY a little, thus it can be seen about PersonX's attribute that PersonX be talkative"
PersonX gives PersonY the courage,xNeed,PersonX be influential,0,1,The event PersonX gives PersonY the courage will not happen unless PersonX be influential
PersonX meets customers ' ___,xIntent,PersonX know about their tastes,0,1,"PersonX meets customers ' ___, thus it can be seen about PersonX's intention that PersonX know about their tastes"
PersonX finally got ___,xNeed,PersonX get hired,1,0,The event PersonX finally got ___ will not happen unless PersonX get hired
PersonX goes to a doctor 's appointment,xAttr,PersonX feel scared,0,1,"PersonX goes to a doctor 's appointment, thus it can be seen about PersonX's attribute that PersonX feel scared"
PersonX peers inside,xNeed,PersonX feel curious,0,2,The event PersonX peers inside will not happen unless PersonX feel curious
PersonX does a wonderful job,xIntent,PersonX intended to want to be a good employee ,1,0,"PersonX does a wonderful job, thus it can be seen about PersonX's intention that PersonX intended to want to be a good employee "
PersonX leaves it be,xNeed,PersonX think it will be ok,1,0,The event PersonX leaves it be will not happen unless PersonX think it will be ok
PersonX makes ___ instead,xAttr,PersonX be hungry,1,0,"PersonX makes ___ instead, thus it can be seen about PersonX's attribute that PersonX be hungry"
PersonX has a dinner party,xAttr,PersonX be social,1,0,"PersonX has a dinner party, thus it can be seen about PersonX's attribute that PersonX be social"
PersonX appoints a ___ to investigate,xAttr,PersonX have the responsibility,0,1,"PersonX appoints a ___ to investigate, thus it can be seen about PersonX's attribute that PersonX have the responsibility"
PersonX shares the ___ equally,xNeed,PersonX he works with a co-worker,1,0,The event PersonX shares the ___ equally will not happen unless PersonX he works with a co-worker
PersonX owes PersonY,xIntent,PersonX borrow from persony,0,2,"PersonX owes PersonY, thus it can be seen about PersonX's intention that PersonX borrow from persony"
PersonX wants to play hockey,xAttr,PersonX feel friendly,0,1,"PersonX wants to play hockey, thus it can be seen about PersonX's attribute that PersonX feel friendly"
PersonX gives the ___ PersonY's name,xIntent,PersonX go there,0,2,"PersonX gives the ___ PersonY's name, thus it can be seen about PersonX's intention that PersonX go there"
PersonX lands the job,xReact,PersonX be dedicated,0,1,"PersonX lands the job, thus as a result on PersonX's emotion, PersonX be dedicated"
PersonX drops the phone,xReact,PersonX call someone,0,2,"PersonX drops the phone, thus as a result on PersonX's emotion, PersonX call someone"
PersonX opens the lid,xNeed,PersonX look for the jar they need,1,0,The event PersonX opens the lid will not happen unless PersonX look for the jar they need
PersonX visits PersonX's cousin,xIntent,PersonX know where cousin lives,0,1,"PersonX visits PersonX's cousin, thus it can be seen about PersonX's intention that PersonX know where cousin lives"
PersonX blows PersonX's wad,xNeed,PersonX become intimate with a woman,1,0,The event PersonX blows PersonX's wad will not happen unless PersonX become intimate with a woman
PersonX notices a wallet,xAttr,PersonX feel hopeful,0,2,"PersonX notices a wallet, thus it can be seen about PersonX's attribute that PersonX feel hopeful"
PersonX stays clean,xAttr,PersonX be hygienic,1,0,"PersonX stays clean, thus it can be seen about PersonX's attribute that PersonX be hygienic"
PersonX takes place in the century,xNeed,PersonX be brave,0,1,The event PersonX takes place in the century will not happen unless PersonX be brave
PersonX convinces PersonX's parents,xReact,PersonX feel relieved,1,0,"PersonX convinces PersonX's parents, thus as a result on PersonX's emotion, PersonX feel relieved"
PersonX arrives at PersonX's destination,xIntent,PersonX decide what her destination is,0,1,"PersonX arrives at PersonX's destination, thus it can be seen about PersonX's intention that PersonX decide what her destination is"
PersonX sets the thames on fire,xNeed,PersonX be at the thames,1,0,The event PersonX sets the thames on fire will not happen unless PersonX be at the thames
PersonX offers ___ on this book when ordered,xNeed,PersonX paper,1,0,The event PersonX offers ___ on this book when ordered will not happen unless PersonX paper
PersonX draws ___ to the need,xReact,PersonX put up big posters,0,1,"PersonX draws ___ to the need, thus as a result on PersonX's emotion, PersonX put up big posters"
PersonX practices all day,xIntent,PersonX intended to be good at it,1,0,"PersonX practices all day, thus it can be seen about PersonX's intention that PersonX intended to be good at it"
PersonX meets the company 's ___,xNeed,PersonX feel successful,0,2,The event PersonX meets the company 's ___ will not happen unless PersonX feel successful
PersonX provides PersonY description,xIntent,PersonX know persony,0,2,"PersonX provides PersonY description, thus it can be seen about PersonX's intention that PersonX know persony"
PersonX spends ___ at PersonY's house,xAttr,PersonX intended to be a good friend,0,2,"PersonX spends ___ at PersonY's house, thus it can be seen about PersonX's attribute that PersonX intended to be a good friend"
PersonX spends the ___ working,xReact,PersonX feel exhausted and tired,1,0,"PersonX spends the ___ working, thus as a result on PersonX's emotion, PersonX feel exhausted and tired"
PersonX arrives ___ from work,xAttr,PersonX be tired,1,0,"PersonX arrives ___ from work, thus it can be seen about PersonX's attribute that PersonX be tired"
PersonX uses ___ as a means,xNeed,PersonX make a plan,1,0,The event PersonX uses ___ as a means will not happen unless PersonX make a plan
PersonX goes from zero to hero,xAttr,PersonX be capable,1,0,"PersonX goes from zero to hero, thus it can be seen about PersonX's attribute that PersonX be capable"
PersonX watches for PersonY opportunity,xNeed,PersonX feel eager,0,2,The event PersonX watches for PersonY opportunity will not happen unless PersonX feel eager
PersonX sprains PersonX's leg,xNeed,PersonX be athletic,0,2,The event PersonX sprains PersonX's leg will not happen unless PersonX be athletic
PersonX takes ___ to the grave,xIntent,PersonX be stubborn,0,1,"PersonX takes ___ to the grave, thus it can be seen about PersonX's intention that PersonX be stubborn"
PersonX makes PersonY concessions,xAttr,PersonX be helpful,1,0,"PersonX makes PersonY concessions, thus it can be seen about PersonX's attribute that PersonX be helpful"
PersonX puts ___ into the oven,xIntent,PersonX prepare item for cooking,0,1,"PersonX puts ___ into the oven, thus it can be seen about PersonX's intention that PersonX prepare item for cooking"
PersonX turns PersonX's music down,xIntent,PersonX intended to let his wife sleep soundly,1,0,"PersonX turns PersonX's music down, thus it can be seen about PersonX's intention that PersonX intended to let his wife sleep soundly"
PersonX wears gloves,xIntent,PersonX intended to protect hands,1,0,"PersonX wears gloves, thus it can be seen about PersonX's intention that PersonX intended to protect hands"
PersonX talks to PersonY again,xAttr,PersonX be social,1,0,"PersonX talks to PersonY again, thus it can be seen about PersonX's attribute that PersonX be social"
PersonX buys one,xNeed,PersonX find item to buy,1,0,The event PersonX buys one will not happen unless PersonX find item to buy
PersonX goes ___ to bed,xAttr,PersonX set their alarm,0,1,"PersonX goes ___ to bed, thus it can be seen about PersonX's attribute that PersonX set their alarm"
howl with laughter,xNeed,PersonX funny story,1,0,The event howl with laughter will not happen unless PersonX funny story
PersonX eats it quickly,xIntent,PersonX feel hungry,0,2,"PersonX eats it quickly, thus it can be seen about PersonX's intention that PersonX feel hungry"
PersonX meets friends,xIntent,PersonX be friendly,0,2,"PersonX meets friends, thus it can be seen about PersonX's intention that PersonX be friendly"
PersonX increases women 's ___,xIntent,PersonX intended to be helpful,1,0,"PersonX increases women 's ___, thus it can be seen about PersonX's intention that PersonX intended to be helpful"
PersonX gets PersonX's makeup done,xIntent,PersonX intended to be noticed,1,0,"PersonX gets PersonX's makeup done, thus it can be seen about PersonX's intention that PersonX intended to be noticed"
PersonX goes downhill,xReact,PersonX feel bad,1,0,"PersonX goes downhill, thus as a result on PersonX's emotion, PersonX feel bad"
PersonX pulls out all the stops,xNeed,PersonX be determined,0,1,The event PersonX pulls out all the stops will not happen unless PersonX be determined
PersonX makes that mistake,xReact,PersonX of done something,0,1,"PersonX makes that mistake, thus as a result on PersonX's emotion, PersonX of done something"
PersonX sees PersonY's crush,oReact,PersonX feel happy,0,1,"PersonX sees PersonY's crush, thus as a result on PersonY's emotion, PersonX feel happy"
PersonX fits the ___ best,oReact,PersonX be mellow,0,1,"PersonX fits the ___ best, thus as a result on PersonY's emotion, PersonX be mellow"
PersonX wants to learn how to play the guitar,xReact,PersonX buy a guitar,0,2,"PersonX wants to learn how to play the guitar, thus as a result on PersonX's emotion, PersonX buy a guitar"
PersonX never been on one before,xReact,PersonX feel nervous,1,0,"PersonX never been on one before, thus as a result on PersonX's emotion, PersonX feel nervous"
PersonX spills coffee,xAttr,PersonX feel angry because x has to get new coffee,0,1,"PersonX spills coffee, thus it can be seen about PersonX's attribute that PersonX feel angry because x has to get new coffee"
PersonX cleans PersonX's bedroom,xNeed,PersonX start to pick up things,1,0,The event PersonX cleans PersonX's bedroom will not happen unless PersonX start to pick up things
PersonX visits PersonY's mother,xAttr,PersonX travel,0,2,"PersonX visits PersonY's mother, thus it can be seen about PersonX's attribute that PersonX travel"
PersonX runs some errands,xIntent,PersonX intended to get things done to have free time later,1,0,"PersonX runs some errands, thus it can be seen about PersonX's intention that PersonX intended to get things done to have free time later"
PersonX spends ___ waiting,oReact,PersonX decide to wait,0,1,"PersonX spends ___ waiting, thus as a result on PersonY's emotion, PersonX decide to wait"
PersonX finishes the job,xNeed,PersonX get necessary equipment,1,0,The event PersonX finishes the job will not happen unless PersonX get necessary equipment
PersonX buys ___ for PersonX's wife,xIntent,PersonX make sure he is alone when he goes to buy the gift,0,2,"PersonX buys ___ for PersonX's wife, thus it can be seen about PersonX's intention that PersonX make sure he is alone when he goes to buy the gift"
PersonX looks in PersonX's cupboard,oReact,PersonX open the door,0,1,"PersonX looks in PersonX's cupboard, thus as a result on PersonY's emotion, PersonX open the door"
PersonX watches PersonY,xNeed,PersonX be watchful,0,1,The event PersonX watches PersonY will not happen unless PersonX be watchful
PersonX has a wonderful trip,xReact,PersonX feel satisfied,1,0,"PersonX has a wonderful trip, thus as a result on PersonX's emotion, PersonX feel satisfied"
PersonX represents every ___,xNeed,PersonX be well known,1,0,The event PersonX represents every ___ will not happen unless PersonX be well known
PersonX finds ___ to describe,xIntent,PersonX feel less worried,0,2,"PersonX finds ___ to describe, thus it can be seen about PersonX's intention that PersonX feel less worried"
PersonX gets ___ right away,xReact,PersonX feel fulfilled,1,0,"PersonX gets ___ right away, thus as a result on PersonX's emotion, PersonX feel fulfilled"
PersonX is making a cake,xNeed,PersonX feel happy,0,2,The event PersonX is making a cake will not happen unless PersonX feel happy
PersonX knows PersonY name,xReact,PersonX look up person y,0,1,"PersonX knows PersonY name, thus as a result on PersonX's emotion, PersonX look up person y"
PersonX protects PersonY from harm,xIntent,PersonX intended to keep him safe from danger,1,0,"PersonX protects PersonY from harm, thus it can be seen about PersonX's intention that PersonX intended to keep him safe from danger"
