head,tail,relation,dataset,label,assertion,assertion_tq
PersonX decide to feed,PersonX stop yell,xEffect,glucose,0,"PersonX decide to feed, thus as an result, PersonX stop yell","If PersonX decide to feed, as a result, PersonX will, PersonX stop yell"
PersonX grab PersonY stuff,be head out the door,xNeed,atomic,1,The event PersonX grab PersonY stuff will not happen unless be head out the door,"If PersonX grab PersonY stuff, but before, PersonX needed, be head out the door"
PersonX consult with architect,PersonX put on perfume,HasSubEvent,cn,0,The event PersonX consult with architect includes the event/action that PersonX put on perfume,"If PersonX consult with architect, includes the event or action, PersonX put on perfume"
PersonX wrap PersonY 's arm around,PersonX want to feel love,xWant,atomic,1,"PersonX wrap PersonY 's arm around, thus, PersonX want to feel love","If PersonX wrap PersonY 's arm around, as a result, PersonX wants to, PersonX want to feel love"
PersonX do extra chore,PersonX be capable,xAttr,atomic,1,"PersonX do extra chore, thus it can be seen about PersonX's attribute that PersonX be capable","If PersonX do extra chore, PersonX is seen as, PersonX be capable"
PersonX pick up,PersonX go to talk to PersonY,isBefore,atomic2020,1,"After PersonX pick up, PersonX go to talk to PersonY","If PersonX pick up, happens before, PersonX go to talk to PersonY"
PersonX be lazy,PersonX finish PersonY sentence,oWant,atomic,0,"PersonX be lazy, thus, PersonY want PersonX finish PersonY sentence","If PersonX be lazy, as a result, PersonY or others want to, PersonX finish PersonY sentence"
PersonX get do with shift,PersonX want to be loose,xWant,atomic,0,"PersonX get do with shift, thus, PersonX want to be loose","If PersonX get do with shift, as a result, PersonX wants to, PersonX want to be loose"
PersonY stop PersonY car,PersonX suddenly appear,oReact,atomic,0,"PersonY stop PersonY car, thus as a result on PersonY's emotion, PersonX suddenly appear","If PersonY stop PersonY car, as a result, PersonY or others feel, PersonX suddenly appear"
PersonX take a train to city,PersonX come full circle,xAttr,atomic,0,"PersonX take a train to city, thus it can be seen about PersonX's attribute that PersonX come full circle","If PersonX take a train to city, PersonX is seen as, PersonX come full circle"
PersonX move into apartment,PersonX be trap in lease,HinderedBy,atomic2020,1,"The event PersonX move into apartment will not happen, if PersonX be trap in lease","If PersonX move into apartment, can be hindered by, PersonX be trap in lease"
PersonX keep PersonY appointment,PersonY be dependable,xAttr,atomic,1,"PersonX keep PersonY appointment, thus it can be seen about PersonX's attribute that PersonY be dependable","If PersonX keep PersonY appointment, PersonX is seen as, PersonY be dependable"
PersonX go on that,PersonX feel happy,xReact,glucose,1,"PersonX go on that, thus as a result on PersonX's emotion, PersonX feel happy","If PersonX go on that, as a result, PersonX feels, PersonX feel happy"
PersonX kill the snake,PersonX cough from exhaust fume,xEffect,atomic,0,"PersonX kill the snake, thus as an result, PersonX cough from exhaust fume","If PersonX kill the snake, as a result, PersonX will, PersonX cough from exhaust fume"
PersonX watch a new movie,PersonX have some ice cream,xWant,atomic,1,"PersonX watch a new movie, thus, PersonX want to have some ice cream","If PersonX watch a new movie, as a result, PersonX wants to, PersonX have some ice cream"
PersonX be at the store with mom,PersonY want to go back,oWant,atomic,1,"PersonX be at the store with mom, thus, PersonY want to go back","If PersonX be at the store with mom, as a result, PersonY or others want to, PersonY want to go back"
PersonX be not breathe,PersonX try to surf,xWant,glucose,0,"PersonX be not breathe, thus, PersonX want to try to surf","If PersonX be not breathe, as a result, PersonX wants to, PersonX try to surf"
the dress code for event do not allow dress,PersonX have a photographic memory,HinderedBy,atomic2020,0,"The event the dress code for event do not allow dress will not happen, if PersonX have a photographic memory","If the dress code for event do not allow dress, can be hindered by, PersonX have a photographic memory"
PersonX be near-sighted,PersonX stop for cream,xAttr,atomic,0,"PersonX be near-sighted, thus it can be seen about PersonX's attribute that PersonX stop for cream","If PersonX be near-sighted, PersonX is seen as, PersonX stop for cream"
PersonX play in snow,PersonX enjoy delicious food,xIntent,glucose,0,"PersonX play in snow, thus it can be seen about PersonX's intention that PersonX enjoy delicious food","If PersonX play in snow, because PersonX wanted, PersonX enjoy delicious food"
PersonX make dinner for family,PersonX want to eat food,xNeed,atomic,0,The event PersonX make dinner for family will not happen unless PersonX want to eat food,"If PersonX make dinner for family, but before, PersonX needed, PersonX want to eat food"
PersonX would make fun of PersonY,PersonY want to fight,oWant,atomic,1,"PersonX would make fun of PersonY, thus, PersonY want to fight","If PersonX would make fun of PersonY, as a result, PersonY or others want to, PersonY want to fight"
PersonX stop travel,PersonX give persony a break,xWant,atomic,0,"PersonX stop travel, thus, PersonX want to give persony a break","If PersonX stop travel, as a result, PersonX wants to, PersonX give persony a break"
PersonY agree to go on date,PersonY get swell on head,oEffect,glucose,0,"PersonY agree to go on date, thus as an result, PersonY get swell on head","If PersonY agree to go on date, as a result, PersonY or others will, PersonY get swell on head"
PersonX make PersonY bed,PersonX take care of people,xAttr,atomic,0,"PersonX make PersonY bed, thus it can be seen about PersonX's attribute that PersonX take care of people","If PersonX make PersonY bed, PersonX is seen as, PersonX take care of people"
PersonX offer that,PersonX offer,oEffect,glucose,1,"PersonX offer that, thus as an result, PersonX offer","If PersonX offer that, as a result, PersonY or others will, PersonX offer"
PersonX take it from PersonX,the item have already be swallow,HinderedBy,atomic2020,1,"The event PersonX take it from PersonX will not happen, if the item have already be swallow","If PersonX take it from PersonX, can be hindered by, the item have already be swallow"
PersonX be dictatorial,PersonX be homemaker,xAttr,glucose,0,"PersonX be dictatorial, thus it can be seen about PersonX's attribute that PersonX be homemaker","If PersonX be dictatorial, PersonX is seen as, PersonX be homemaker"
PersonX put PersonY 's thing,PersonX want to organize the room,xWant,glucose,1,"PersonX put PersonY 's thing, thus, PersonX want to organize the room","If PersonX put PersonY 's thing, as a result, PersonX wants to, PersonX want to organize the room"
PersonX increase experience,PersonX look attractive,xEffect,glucose,0,"PersonX increase experience, thus as an result, PersonX look attractive","If PersonX increase experience, as a result, PersonX will, PersonX look attractive"
PersonX marry PersonX girlfriend,PersonX be determine,xEffect,atomic,0,"PersonX marry PersonX girlfriend, thus as an result, PersonX be determine","If PersonX marry PersonX girlfriend, as a result, PersonX will, PersonX be determine"
PersonX spend more money,PeopleX have bill,HinderedBy,atomic2020,1,"The event PersonX spend more money will not happen, if PeopleX have bill","If PersonX spend more money, can be hindered by, PeopleX have bill"
PersonX hear anything,PersonX have super power,xNeed,atomic,1,The event PersonX hear anything will not happen unless PersonX have super power,"If PersonX hear anything, but before, PersonX needed, PersonX have super power"
PersonX buy a new home,PersonX upgrade his/her living space,xIntent,atomic,1,"PersonX buy a new home, thus it can be seen about PersonX's intention that PersonX upgrade his/her living space","If PersonX buy a new home, because PersonX wanted, PersonX upgrade his/her living space"
PersonX go to mall,PersonX regret that,xAttr,atomic,0,"PersonX go to mall, thus it can be seen about PersonX's attribute that PersonX regret that","If PersonX go to mall, PersonX is seen as, PersonX regret that"
PersonX pay PersonY debt,PersonY be great,oReact,atomic,1,"PersonX pay PersonY debt, thus as a result on PersonY's emotion, PersonY feel PersonY be great","If PersonX pay PersonY debt, as a result, PersonY or others feel, PersonY be great"
PersonX go out,PersonX take picture of themselves,xEffect,atomic,0,"PersonX go out, thus as an result, PersonX take picture of themselves","If PersonX go out, as a result, PersonX will, PersonX take picture of themselves"
PersonX climb out of crib,PersonX toss,xEffect,atomic,0,"PersonX climb out of crib, thus as an result, PersonX toss","If PersonX climb out of crib, as a result, PersonX will, PersonX toss"
PersonX learn german,PersonX be intelligent,xWant,atomic,0,"PersonX learn german, thus, PersonX want to be intelligent","If PersonX learn german, as a result, PersonX wants to, PersonX be intelligent"
PersonX need to glove,PersonX take PersonY into custody,xNeed,atomic,0,The event PersonX need to glove will not happen unless PersonX take PersonY into custody,"If PersonX need to glove, but before, PersonX needed, PersonX take PersonY into custody"
PersonX get a degree,PersonX move through gear,xReact,atomic,0,"PersonX get a degree, thus as a result on PersonX's emotion, PersonX move through gear","If PersonX get a degree, as a result, PersonX feels, PersonX move through gear"
PersonX have a big crush on PersonY,PersonX date persony,xIntent,atomic,1,"PersonX have a big crush on PersonY, thus it can be seen about PersonX's intention that PersonX date persony","If PersonX have a big crush on PersonY, because PersonX wanted, PersonX date persony"
PersonX make up PersonX mind,PersonX assure,xIntent,atomic,1,"PersonX make up PersonX mind, thus it can be seen about PersonX's intention that PersonX assure","If PersonX make up PersonX mind, because PersonX wanted, PersonX assure"
PersonX want to check out,PersonX have a pest problem,xEffect,glucose,0,"PersonX want to check out, thus as an result, PersonX have a pest problem","If PersonX want to check out, as a result, PersonX will, PersonX have a pest problem"
PersonX be sit on something,PersonX feel stressed,xReact,glucose,1,"PersonX be sit on something, thus as a result on PersonX's emotion, PersonX feel stressed","If PersonX be sit on something, as a result, PersonX feels, PersonX feel stressed"
PersonX want to take PersonY aisle,PersonX ask persony pay PeopleX,xWant,atomic,0,"PersonX want to take PersonY aisle, thus, PersonX want to ask persony pay PeopleX","If PersonX want to take PersonY aisle, as a result, PersonX wants to, PersonX ask persony pay PeopleX"
PersonX be lose in wood,PersonX attack by animal,xEffect,atomic,1,"PersonX be lose in wood, thus as an result, PersonX attack by animal","If PersonX be lose in wood, as a result, PersonX will, PersonX attack by animal"
PersonX increase PersonY 's wealth,PersonX win the lottery,xEffect,atomic,1,"PersonX increase PersonY 's wealth, thus as an result, PersonX win the lottery","If PersonX increase PersonY 's wealth, as a result, PersonX will, PersonX win the lottery"
PersonX save PersonY from death,PersonX be strong,xReact,atomic,1,"PersonX save PersonY from death, thus as a result on PersonX's emotion, PersonX feel PersonX be strong","If PersonX save PersonY from death, as a result, PersonX feels, PersonX be strong"
